                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.6504,                 1.4062,                 1.1478,                 0.5158,                0.66702,                0.59497,                0.30033,                 1.5194,                 1.3796,                 1.1534,             0.00058411,             0.00058411,             0.00058411
                     13,                   1.62,                 1.3844,                 1.1316,                 0.5721,                0.67937,                0.63743,                0.32779,                 1.4935,                 1.3214,                 1.1323,             0.00062657,             0.00062657,             0.00062657
                     14,                 1.6075,                 1.2605,                 1.1228,                0.63951,                0.71168,                 0.6874,                0.35855,                 1.4922,                 1.2273,                 1.1201,             0.00066793,             0.00066793,             0.00066793
                     15,                  1.547,                 1.2494,                 1.1141,                0.58221,                 0.7418,                0.70079,                0.38059,                 1.4423,                 1.2612,                 1.0975,             0.00070819,             0.00070819,             0.00070819
                     16,                 1.4831,                 1.2652,                 1.0978,                0.59171,                0.74379,                0.70799,                0.38703,                 1.4268,                 1.2286,                 1.0861,             0.00074735,             0.00074735,             0.00074735
                     17,                 1.5191,                 1.2438,                 1.0867,                 0.6286,                0.72919,                0.72775,                0.40415,                 1.3986,                 1.2011,                 1.0732,             0.00078541,             0.00078541,             0.00078541
                     18,                 1.4382,                 1.1666,                 1.0902,                0.66063,                0.72836,                0.75398,                0.42272,                 1.3958,                 1.1873,                 1.0739,             0.00082238,             0.00082238,             0.00082238
                     19,                 1.4609,                 1.1889,                 1.0576,                 0.7013,                 0.7617,                0.78247,                0.43951,                 1.3763,                  1.127,                 1.0713,             0.00085824,             0.00085824,             0.00085824
                     20,                 1.4334,                 1.1261,                 1.0536,                0.68383,                0.75642,                0.77636,                0.45194,                 1.3237,                 1.0965,                 1.0656,               0.000893,               0.000893,               0.000893
                     21,                 1.4551,                 1.1228,                 1.0627,                0.69666,                0.72693,                0.76404,                 0.4291,                 1.3708,                 1.1601,                 1.0858,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.4197,                 1.1451,                 1.0572,                0.68653,                0.71159,                 0.7478,                0.38656,                 1.4778,                 1.2033,                 1.1248,             0.00088002,             0.00088002,             0.00088002
